"geoid","fuelheat","housingvalue","kitchen","mortgage","mortgagecost","mortgageval","occupy","occupyown","phone","plumbing","rentgross","rentprcinc","rooms","units","unitsownpop"
"05000US39041",92.25,"293900","99.07",76.95,"90.06","78.31",95.4,81.28,"98.85","99.38","1040",38.6,7.3,1.90690323238503,84.72
"05000US39043",90,"136700","97.54",60.66,"80.3","59.82",82.68,69.01,"98.27","98.74","739",44.8,5.9,1.88923676559854,72.52
"05000US39045",89.4,"173600","97.3",68.63,"86.2","71.44",92.03,72.66,"98.13","98.55","866",39.3,6.3,1.91563822917414,74.89
"05000US39047",85.73,"112700","97.98",60.79,"80.49","60.72",91.97,63.16,"97.35","98.18","715",40.7,5.8,1.96583162917519,63.25
"05000US39049",98.21,"165800","97.21",72.8,"87.02","74.43",91.65,53.4,"98.13","97.97","942",34,5.4,1.71759176702292,55.67
"05000US39051",71.82,"137000","97.39",60.75,"80.65","61.34",93.75,77.18,"99.08","98.01","707",40.8,6.3,1.98977168949772,78.53
"05000US39053",72.71,"106200","94.61",45.91,"69.11","53",83.95,73.54,"97.05","94.36","675",40.6,5.7,1.96415709140799,74.41
"05000US39055",85.33,"230200","94.82",67.43,"84.92","68.82",95.17,86.1,"96.96","97.83","815",44.6,7.1,1.97639223466062,88.32
"05000US39057",93.51,"168200","98.1",65.35,"83.15","65.62",93.6,66.38,"98.54","99.03","899",38.1,6.1,1.89412286334587,68.63
"05000US39059",75.98,"106600","95.5",54.48,"76.58","59.27",83.47,71.23,"97.41","95.48","670",42.5,5.7,1.96769785066468,72.4
"05000US39061",97.08,"149300","96.98",68.84,"84.76","70.38",89.74,57.78,"98.2","97.62","779",36.8,5.5,1.6932546195796,62.06
"05000US39063",84.74,"139900","96.98",64.29,"83.36","69.5",93.7,69.23,"98.09","99.41","747",39.2,6.1,1.95954464201712,72.53
"05000US39065",69.83,"98400","93.89",57.73,"77.69","60.67",87.17,70.94,"96.51","94.74","663",35.5,6.1,1.98347107438017,72.6
"05000US39067",72.66,"89800","92.82",51.54,"73.45","54.29",76.44,78.24,"96.87","91.11","617",46,6,1.97887096774194,79.16
"05000US39069",72.3,"121900","98.79",60.63,"79.72","59.89",91.67,77.44,"98.46","98.79","686",41.3,6.6,1.98761861726164,78.62
"05000US39071",80.02,"111700","95.07",62.31,"82.12","64.25",86.13,69.23,"96.89","95.2","680",40.4,5.7,1.97128439264688,70.53
"05000US39073",75.55,"126700","95.63",57.58,"79.2","64.21",83.01,75.5,"97.61","95.17","606",42.9,5.7,1.98039568345324,76.78
"05000US39075",69.52,"200700","95.11",56.19,"78.79","58.05",91.18,76.05,"86.41","97.54","639",31.3,6.6,1.99268312293962,80.77
"05000US39077",77.46,"120800","96.72",59.71,"79.7","62.57",90.55,70.28,"98.23","98.1","685",39.6,6,1.9751968503937,71.97
"05000US39079",80.32,"94600","94.21",51.44,"72.26","55.24",87.26,70.15,"97.61","94.3","695",40.1,5.5,1.97067949115731,69.21
"05000US39081",90.21,"90000","94.26",49.98,"71.39","51.7",84.12,69.15,"98.95","94.49","650",44.8,5.8,1.92376566896905,71.1
"05000US39083",75.76,"147900","96.72",64.49,"83.43","65.26",90.71,71.68,"96.56","97.37","736",38.9,6.1,1.97934875749786,74.06
"05000US39085",97.34,"153100","98.09",63.7,"82.25","64.64",93.53,74.39,"98.78","98.52","881",43.7,6.1,1.93974786413836,76.91
"05000US39087",81.65,"103000","94.41",49.2,"71.47","53.38",85.53,71.57,"97.77","95.44","704",41.6,5.5,1.96644010195412,71.95
"05000US39089",86.48,"164100","96.82",68.11,"85.74","69.99",90.61,72.81,"98.52","98","832",39.7,6.1,1.94526368407898,74.73
"05000US39091",70.55,"129100","94.89",60.54,"80.81","62.82",79.72,72.93,"97.37","97.6","733",40.8,5.7,1.96504771094671,73.73
"05000US39093",94.45,"145100","96.62",64.55,"83.26","68.51",91.65,71.61,"97.59","97.61","768",41.8,6.1,1.90601994378263,73.31
"05000US39095",96.14,"113100","94.38",63.15,"81.96","65.7",88.18,59.97,"98.12","95.31","723",37.9,5.8,1.77217211627063,62.14
"05000US39097",83.35,"162200","96.06",66.74,"84.38","68.68",93.85,71.27,"98.32","98.29","795",40.7,6,1.95291777188329,72.18
"05000US39099",94.48,"103400","95.11",55.86,"77.47","59.55",87.98,68.69,"98.49","95.52","670",43.5,5.9,1.83359849875576,71.07
"05000US39101",87.58,"97500","92.16",58.66,"79.31","62.35",88.2,67.91,"97.2","93.02","721",41.3,6.1,1.95299805004875,69.23
"05000US39103",92.76,"189700","98.27",67.83,"85.44","67.78",94.77,80.65,"98.02","99.19","861",41.9,6.7,1.97003860777147,84.12
"05000US39105",74.36,"92900","94.35",42.48,"68.66","50.68",82.28,79.07,"97.75","90.54","585",43.6,5.7,1.97933210051126,80.06
